Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,Fmb,Player-additional
131,Ken Iman,RAM,27,C,14,14,1,2,0,2,2.0,0.1,0,ImanKe20
132,Jim Jones,CHI,25,LE,14,14,1,-7,0,-7,-7.0,-0.5,1,JoneJi01
133,Joe Kantor,WAS,24,HB,4,0,1,2,0,2,2.0,0.5,0,KantJo00
134,Billy Lothridge,ATL,24,P,14,0,1,22,0,22,22.0,1.6,0,LothBi20
135,John Mackey*+,BAL,25,TE,14,14,1,-6,0,-6,-6.0,-0.4,0,MackJo00
136,Eddie Meador*,RAM,29,FS,14,14,1,7,0,7,7.0,0.5,0,MeadEd00
137,Ron Meyer,PIT,22,QB,4,0,1,-2,0,-2,-2.0,-0.5,1,MeyeRo00
138,Dave Parks*,SFO,25,LE,13,13,1,-1,0,-1,-1.0,-0.1,0,ParkDa00
139,Larry Rakestraw,CHI,24,QB,1,0,1,-5,0,-5,-5.0,-5.0,1,RakeLa00
140,Dick Shiner,WAS,24,QB,14,0,1,10,0,10,10.0,0.7,1,ShinDi00
141,Roy Shivers,STL,25,RB,13,1,1,5,0,5,5.0,0.4,3,ShivRo00
142,Jimmy Sidle,ATL,23,RB,6,0,1,12,0,12,12.0,2.0,1,SidlJi00
143,Jackie Smith*,STL,26,TE,14,14,1,8,0,8,8.0,0.6,1,SmitJa00
144,Jerry Stovall*,STL,25,SS,14,14,1,17,0,17,17.0,1.2,0,StovJe00
145,Danny Villanueva,DAL,29,K,14,0,1,23,0,23,23.0,1.6,0,VillDa21
146,Willie Walker,DET,24,WR,9,0,1,4,0,4,4.0,0.4,0,WalkWi00
147,Jeff Williams,MIN,23,HB,3,0,1,2,0,2,2.0,0.7,1,WillJe01
