Player-additional,Player,Tm,Age,Pos,G,Cmp,PassAtt,PassYds,PassTD,Int,RushAtt,RushYds,RushTD,RushFmb,Rec,RecYds,RecTD,RecFmb,2PM,Score
RandSo00,Sonny Randle,STL,30,WR,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,218.0,2.0,0.0,0.0,42.3
DialBu00,Buddy Dial,DAL,29,WR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,252.0,1.0,0.0,0.0,38.2
NoonKa00,Karl Noonan,MIA,22,WR,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,224.0,1.0,0.0,0.0,36.9
McFaKa00,Kay McFarland,SFO,28,WR,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,219.0,1.0,0.0,0.0,34.4
BarnGa00,Gary Barnes,ATL,27,WR,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,173.0,1.0,1.0,0.0,27.3
RodeJo00,John Roderick,MIA,22,WR,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,156.0,1.0,0.0,0.0,27.1
GordDi00,Dick Gordon,CHI,22,WR,14,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,15.0,210.0,1.0,4.0,0.0,26.7
ToddLa00,Larry Todd,OAK,24,WR,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,134.0,1.0,1.0,0.0,24.4
RutkEd00,Ed Rutkowski,BUF,25,WR,14,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,1.0,6.0,150.0,1.0,1.0,0.0,23.0
WitcDi00,Dick Witcher,SFO,22,WR,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,115.0,1.0,0.0,0.0,22.5
