Player-additional,Player,Tm,Age,Pos,G,Cmp,PassAtt,PassYds,PassTD,Int,RushAtt,RushYds,RushTD,RushFmb,Rec,RecYds,RecTD,RecFmb,2PM,Score
MereDo00,Don Meredith*,DAL,28,QB,13,177.0,344.0,2805.0,24.0,12.0,38.0,242.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,222.4
RyanFr00,Frank Ryan*,CLE,30,QB,14,200.0,382.0,2974.0,29.0,14.0,36.0,156.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,212.56
JurgSo00,Sonny Jurgensen*,WAS,32,QB,14,254.0,436.0,3209.0,28.0,19.0,12.0,14.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,193.76
DawsLe00,Len Dawson*+,KAN,31,QB,14,159.0,284.0,2527.0,26.0,10.0,24.0,167.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,191.78
HadlJo00,John Hadl,SDG,26,QB,14,200.0,375.0,2846.0,23.0,14.0,38.0,95.0,2.0,4.0,2.0,-13.0,0.0,4.0,0.0,191.04
TarkFr00,Fran Tarkenton,MIN,26,QB,14,192.0,358.0,2561.0,17.0,16.0,62.0,376.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,184.04
FlorTo00,Tom Flores*,OAK,29,QB,14,151.0,306.0,2638.0,24.0,14.0,5.0,50.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,180.52
NamaJo00,Joe Namath,NYJ,23,QB,14,232.0,471.0,3379.0,19.0,27.0,6.0,42.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,171.36
UnitJo00,Johnny Unitas*,BAL,33,QB,14,195.0,348.0,2748.0,22.0,24.0,20.0,44.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,150.32
StarBa00,Bart Starr*+,GNB,32,QB,14,156.0,251.0,2257.0,14.0,3.0,21.0,104.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,148.68
BrodJo00,John Brodie,SFO,31,QB,14,232.0,427.0,2810.0,16.0,22.0,5.0,18.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,144.2
PariBa00,Babe Parilli*,BOS,36,QB,14,181.0,382.0,2721.0,20.0,20.0,28.0,42.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,143.04
KempJa00,Jack Kemp*,BUF,31,QB,14,166.0,389.0,2451.0,11.0,16.0,40.0,130.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,139.04
TrulDo00,Don Trull,HOU,25,QB,14,84.0,172.0,1200.0,10.0,5.0,38.0,139.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,127.9
GabrRo00,Roman Gabriel,RAM,26,QB,14,217.0,397.0,2540.0,10.0,16.0,52.0,176.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,125.2
BlanGe00,George Blanda,HOU,39,QB,14,122.0,271.0,1764.0,17.0,21.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,90.66
JohnRa00,Randy Johnson,ATL,22,QB,14,129.0,295.0,1795.0,12.0,21.0,35.0,142.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,90.0
JohnCh02,Charley Johnson,STL,28,QB,9,103.0,205.0,1334.0,10.0,11.0,20.0,39.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,81.26
SweeKa00,Karl Sweetan,DET,24,QB,10,157.0,309.0,1809.0,4.0,14.0,34.0,219.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,76.26
WoodGa00,Gary Wood,NYG,24,QB,14,81.0,170.0,1142.0,6.0,13.0,28.0,196.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,73.28
NelsBi00,Bill Nelsen,PIT,25,QB,5,63.0,112.0,1122.0,7.0,1.0,6.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,70.68
BukiRu00,Rudy Bukich,CHI,36,QB,14,147.0,309.0,1858.0,10.0,21.0,18.0,14.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,69.72
SneaNo00,Norm Snead,PHI,27,QB,10,103.0,226.0,1275.0,8.0,11.0,15.0,32.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,56.2
SmitRo03,Ron Smith,PIT,24,QB,9,79.0,181.0,1249.0,8.0,12.0,4.0,-9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,53.06
BeatPe00,Pete Beathard,KAN,24,QB,14,39.0,90.0,578.0,4.0,4.0,20.0,152.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,46.32
ChobMa00,Max Choboian,DEN,24,QB,14,82.0,163.0,1110.0,4.0,12.0,21.0,45.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,44.9
