2024-05-31T19:00:00,2024-05-31,Ameris Bank Amphitheatre,Alpharetta,GA,United States,Parker McCollum,34.07059646211284,-84.27871897047739
2024-06-01T19:00:00,2024-06-01,Daily's Place,Jacksonville,FL,United States,Parker McCollum,30.33135355557352,-81.64976614233449
2024-06-06T19:00:00,2024-06-06,CMA Music Festival 2024,Nashville,TN,United States,,36.15407923923397,-86.78100230710974
2024-06-07T19:00:00,2024-06-07,Carolina Country Music Festival 2024,Myrtle Beach,SC,United States,,33.68708498067581,-78.89964973117661
2024-06-08T16:00:00,2024-06-08,Tin Roof Broadway,Nashville,TN,United States,Dasha|LOCASH,36.15406938132024,-86.78244658607014
2024-06-28T19:00:00,2024-06-28,Hayden Homes Amphitheater,Bend,OR,United States,Russell Dickerson|Sam Hunt,44.06125319948446,-121.30863183043773
2024-06-29T19:00:00,2024-06-29,White River Amphitheatre,Auburn,WA,United States,Sam Hunt|Russell Dickerson,47.31609965835903,-122.23333727713863
2024-06-30T19:00:00,2024-06-30,Ford Idaho Center Amphitheater,Nampa,ID,United States,Russell Dickerson|Sam Hunt,43.57911714037149,-116.56823284942274
2024-07-10T20:00:00,2024-07-10,XL Live,Harrisburg,PA,United States,Hailey Whitters|Drew Baldridge|Larry Fleet,40.26115069298861,-76.8806595876541
2024-07-11T19:00:00,2024-07-11,Freedom Mortgage Pavilion,Camden,NJ,United States,Russell Dickerson|Sam Hunt,39.954278395757115,-75.11503328332762
2024-07-12T19:00:00,2024-07-12,Jiffy Lube Live,Bristow,VA,United States,Russell Dickerson|Sam Hunt,38.717651438716,-77.54433121436013
2024-07-13T19:00:00,2024-07-13,Veterans United Home Loans Amphitheater at Virginia Beach,Virginia Beach,VA,United States,Russell Dickerson|Sam Hunt,36.85991976801533,-75.98514333312882
2024-07-14T19:00:00,2024-07-14,Bottle & Cork,Dewey Beach,DE,United States,,38.68897611782548,-75.06735018616999
2024-07-18T19:30:00,2024-07-18,Mohegan Sun Arena,Uncasville,CT,United States,Russell Dickerson|Sam Hunt,41.429779827549694,-72.10476908841278
2024-07-19T19:00:00,2024-07-19,Blossom Music Center,Cuyahoga Falls,OH,United States,Russell Dickerson|Sam Hunt,41.12894516318996,-81.49032202851014
2024-07-20T19:00:00,2024-07-20,The Pavilion at Star Lake,Burgettstown,PA,United States,Russell Dickerson|Sam Hunt,40.38957354657581,-80.3922589613273
2024-07-25T19:00:00,2024-07-25,Daily's Place,Jacksonville,FL,United States,Russell Dickerson|Sam Hunt,30.33609044971462,-81.66524652557788
2024-07-26T19:00:00,2024-07-26,Credit One Stadium,Charleston,SC,United States,Russell Dickerson|Sam Hunt,32.78616431103725,-79.93632123401477
2024-07-27T19:00:00,2024-07-27,Coastal Credit Union Music Park At Walnut Creek,Raleigh,NC,United States,Sam Hunt|Russell Dickerson,35.777338113762944,-78.64139603143033
2024-08-01T19:00:00,2024-08-01,Isleta Amphitheater,Albuquerque,NM,United States,Russell Dickerson|Sam Hunt,35.093142384729795,-106.6579794088185
2024-08-02T19:00:00,2024-08-02,Fiddler's Green Amphitheatre,Greenwood Village,CO,United States,Russell Dickerson|Sam Hunt,39.61267700606222,-104.94884305478381
2024-08-03T19:00:00,2024-08-03,Utah First Credit Union Amphitheatre,West Valley City,UT,United States,Russell Dickerson|Sam Hunt,40.69485426977846,-111.97726327378349
2024-08-04T19:00:00,2024-08-04,KettleHouse Amphitheater,Bonner,MT,United States,Dierks Bentley,46.876577933751456,-113.86590705641937
2024-08-08T19:00:00,2024-08-08,North Island Credit Union Amphitheatre,San Diego,CA,United States,Luke Bryan|Josh Ross|Meghan Patrick,32.71862678512064,-117.15403464084838
2024-08-09T19:00:00,2024-08-09,The Kia Forum,Los Angeles,CA,United States,Luke Bryan|Josh Ross|Meghan Patrick,34.06243508682052,-118.25106751657798
2024-08-10T19:00:00,2024-08-10,Glen Helen Amphitheater,San Bernardino,CA,United States,Luke Bryan|Josh Ross|Meghan Patrick,34.8272930642571,-116.07469296842115
2024-08-17T19:00:00,2024-08-17,Lasso  2024,Montréal,QC,Canada,,45.513093655030865,-73.56567196237066
2024-08-22T19:00:00,2024-08-22,Paycom Center,Oklahoma City,OK,United States,Luke Bryan|Larry Fleet|Chayce Beckham,35.46954949890358,-97.51787671145846
2024-08-24T19:00:00,2024-08-24,Wells Fargo Arena,Des Moines,IA,United States,Luke Bryan|Larry Fleet|Chayce Beckham,41.59459507081916,-93.63286584904515
2024-08-30T19:00:00,2024-08-30,Allentown Fairgrounds,Allentown,PA,United States,Brad Paisley,40.59560404962757,-75.47239855364606
2024-09-05T19:00:00,2024-09-05,Somerset Amphitheater,Somerset,WI,United States,Luke Bryan|Larry Fleet|Ella Langley,45.115852865593546,-92.67756632413949
2024-09-06T19:00:00,2024-09-06,Crusens Farmington Road,Peoria,IL,United States,,40.69180401380266,-89.58409540011148
2024-09-07T19:00:00,2024-09-07,Ruoff Music Center,Noblesville,IN,United States,Luke Bryan|Larry Fleet|Ella Langley,40.04010993093656,-86.00609988649776
2024-09-12T19:00:00,2024-09-12,iTHINK Financial Amphitheatre,West Palm Beach,FL,United States,Luke Bryan|Josh Ross|Larry Fleet,26.705830095383693,-80.04436520165089
2024-09-14T19:00:00,2024-09-14,MIDFLORIDA Credit Union Amphitheatre,Tampa,FL,United States,Luke Bryan|Larry Fleet|Dillon Carmichael,27.940542604810428,-82.45092655705902
2024-10-19T19:00:00,2024-10-19,GoldenSky Festival 2024,Sacramento,CA,United States,Keith Urban|Colbie Caillat|Luke Bryan|Clint Black|Hunter Hayes|Elle King|Sam Barber|Ashley McBryde|Hailey Whitters|Thomas Rhett|Riley Green|Conner Smith|Larry Fleet|Gabby Barrett|LOCASH|Paul Cauthen|Charles Wesley Godwin|Bailey Zimmerman|Turnpike Troubadours|Deana Carter|David Nail|Kylie Morgan|Travis Denning|Hannah Ellis|Madeline Merlo|Chayce Beckham|RVSHVD|Carter Faith|LECADE|Logan Crosby,38.57471920416916,-121.49403482960622
