Player Name,Team,Minutes Played,Player Link,Player State
Alvaro Cardenas,BOISE STATE,933,https://www.espn.com/mens-college-basketball/player/_/id/4897535/alvaro-cardenas,Sp
Andrew Meadow,BOISE STATE,764,https://www.espn.com/mens-college-basketball/player/_/id/5081887/andrew-meadow,CA
Javan Buchanan,BOISE STATE,606,https://www.espn.com/mens-college-basketball/player/_/id/5241230/javan-buchanan,IN
O'Mar Stanley,BOISE STATE,487,https://www.espn.com/mens-college-basketball/player/_/id/4703032/omar-stanley,KS
Pearson Carmichael,BOISE STATE,157,https://www.espn.com/mens-college-basketball/player/_/id/5117627/pearson-carmichael,OR
Julian Bowie,BOISE STATE,378,https://www.espn.com/mens-college-basketball/player/_/id/5241229/julian-bowie,ID
Dylan Anderson,BOISE STATE,238,https://www.espn.com/mens-college-basketball/player/_/id/4432739/dylan-anderson,AZ
Chris Lockett Jr.,BOISE STATE,282,https://www.espn.com/mens-college-basketball/player/_/id/4683768/chris-lockett-jr,LA
Emmanuel Ugbo,BOISE STATE,230,https://www.espn.com/mens-college-basketball/player/_/id/5195304/emmanuel-ugbo,Ne
RJ Keene II,BOISE STATE,444,https://www.espn.com/mens-college-basketball/player/_/id/4683941/rj-keene-ii,TX
Brennan Ramirez,BOISE STATE,6,https://www.espn.com/mens-college-basketball/player/_/id/5252550/brennan-ramirez,CA
Donald Hand Jr.,BOSTON COLLEGE,895,https://www.espn.com/mens-college-basketball/player/_/id/4683629/donald-hand-jr,VA
Chad Venning,BOSTON COLLEGE,704,https://www.espn.com/mens-college-basketball/player/_/id/4711312/chad-venning,NY
Elijah Strong,BOSTON COLLEGE,544,https://www.espn.com/mens-college-basketball/player/_/id/5174555/elijah-strong,NC
Fred Payne,BOSTON COLLEGE,470,https://www.espn.com/mens-college-basketball/player/_/id/4684268/fred-payne,LA
Dion Brown,BOSTON COLLEGE,681,https://www.espn.com/mens-college-basketball/player/_/id/5107242/dion-brown,MA
Joshua Beadle,BOSTON COLLEGE,522,https://www.espn.com/mens-college-basketball/player/_/id/4698718/joshua-beadle,SC
Roger McFarlane,BOSTON COLLEGE,672,https://www.espn.com/mens-college-basketball/player/_/id/4897313/roger-mcfarlane,FL
Chas Kelley III,BOSTON COLLEGE,504,https://www.espn.com/mens-college-basketball/player/_/id/4888733/chas-kelley-iii,TX
Jayden Hastings,BOSTON COLLEGE,380,https://www.espn.com/mens-college-basketball/player/_/id/4685671/jayden-hastings,FL
Luka Toews,BOSTON COLLEGE,145,https://www.espn.com/mens-college-basketball/player/_/id/5151855/luka-toews,Ja
Kany Tchanda,BOSTON COLLEGE,54,https://www.espn.com/mens-college-basketball/player/_/id/5061602/kany-tchanda,Co
Jack Di Donna,BOSTON COLLEGE,1,https://www.espn.com/mens-college-basketball/player/_/id/5183069/jack-di-donna,FL
Ethan Soares,BOSTON COLLEGE,1,https://www.espn.com/mens-college-basketball/player/_/id/5183070/ethan-soares,TX
Will Eggemeier,BOSTON COLLEGE,1,https://www.espn.com/mens-college-basketball/player/_/id/5238156/will-eggemeier,CA
Jahmyl Telfort,BUTLER,946,https://www.espn.com/mens-college-basketball/player/_/id/4702785/jahmyl-telfort,PQ
Pierre Brooks II,BUTLER,904,https://www.espn.com/mens-college-basketball/player/_/id/4683731/pierre-brooks-ii,MI
Patrick McCaffery,BUTLER,885,https://www.espn.com/mens-college-basketball/player/_/id/4432836/patrick-mccaffery,IA
Finley Bizjack,BUTLER,686,https://www.espn.com/mens-college-basketball/player/_/id/4848619/finley-bizjack,TX
Andre Screen,BUTLER,532,https://www.espn.com/mens-college-basketball/player/_/id/4702499/andre-screen,VA
Kolby King,BUTLER,497,https://www.espn.com/mens-college-basketball/player/_/id/5105604/kolby-king,FL
Augusto Cassia,BUTLER,151,https://www.espn.com/mens-college-basketball/player/_/id/5175354/augusto-cassia,Br
Boden Kapke,BUTLER,298,https://www.espn.com/mens-college-basketball/player/_/id/5103631/boden-kapke,MN
Landon Moore,BUTLER,460,https://www.espn.com/mens-college-basketball/player/_/id/5106612/landon-moore,IL
Evan Haywood,BUTLER,65,https://www.espn.com/mens-college-basketball/player/_/id/5184903/evan-haywood,IN
Ethan McComb,BUTLER,4,https://www.espn.com/mens-college-basketball/player/_/id/5175355/ethan-mccomb,IN
Chase Hunter,CLEMSON,914,https://www.espn.com/mens-college-basketball/player/_/id/4592184/chase-hunter,GA
Ian Schieffelin,CLEMSON,906,https://www.espn.com/mens-college-basketball/player/_/id/4693954/ian-schieffelin,GA
Viktor Lakhin,CLEMSON,617,https://www.espn.com/mens-college-basketball/player/_/id/4701192/viktor-lakhin,Ru
Jaeden Zackery,CLEMSON,947,https://www.espn.com/mens-college-basketball/player/_/id/4896615/jaeden-zackery,WI
Chauncey Wiggins,CLEMSON,665,https://www.espn.com/mens-college-basketball/player/_/id/5105448/chauncey-wiggins,GA
Dillon Hunter,CLEMSON,575,https://www.espn.com/mens-college-basketball/player/_/id/5105445/dillon-hunter,GA
Jake Heidbreder,CLEMSON,328,https://www.espn.com/mens-college-basketball/player/_/id/4903264/jake-heidbreder,IN
Del Jones,CLEMSON,284,https://www.espn.com/mens-college-basketball/player/_/id/4873143/del-jones,MD
Myles Foster,CLEMSON,146,https://www.espn.com/mens-college-basketball/player/_/id/4703425/myles-foster,NY
Asa Thomas,CLEMSON,26,https://www.espn.com/mens-college-basketball/player/_/id/4895755/asa-thomas,IL
Christian Reeves,CLEMSON,122,https://www.espn.com/mens-college-basketball/player/_/id/5105444/christian-reeves,NC
Daniel Nauseef,CLEMSON,5,https://www.espn.com/mens-college-basketball/player/_/id/4911083/daniel-nauseef,OH
Matt Kelly,CLEMSON,6,https://www.espn.com/mens-college-basketball/player/_/id/5105447/matt-kelly,SC
Andrew Latiff,CLEMSON,6,https://www.espn.com/mens-college-basketball/player/_/id/5174556/andrew-latiff,SC
Jackson Roberts,CLEMSON,4,https://www.espn.com/mens-college-basketball/player/_/id/5238162/jackson-roberts,FL
Nique Clifford,COLORADO STATE,952,https://www.espn.com/mens-college-basketball/player/_/id/4702384/nique-clifford,CO
Jalen Lake,COLORADO STATE,832,https://www.espn.com/mens-college-basketball/player/_/id/4897514/jalen-lake,TX
Kyan Evans,COLORADO STATE,730,https://www.espn.com/mens-college-basketball/player/_/id/5093253/kyan-evans,MO
Jaylen Crocker-Johnson,COLORADO STATE,562,https://www.espn.com/mens-college-basketball/player/_/id/4894462/jaylen-crocker-johnson,TX
Rashaan Mbemba,COLORADO STATE,445,https://www.espn.com/mens-college-basketball/player/_/id/5176196/rashaan-mbemba,Au
Keshawn Williams,COLORADO STATE,405,https://www.espn.com/mens-college-basketball/player/_/id/4602029/keshawn-williams,IL
Kyle Jorgensen,COLORADO STATE,386,https://www.espn.com/mens-college-basketball/player/_/id/5241234/kyle-jorgensen,MN
Bowen Born,COLORADO STATE,424,https://www.espn.com/mens-college-basketball/player/_/id/4703913/bowen-born,IA
Ethan Morton,COLORADO STATE,638,https://www.espn.com/mens-college-basketball/player/_/id/4433151/ethan-morton,PA
Nikola Djapa,COLORADO STATE,79,https://www.espn.com/mens-college-basketball/player/_/id/5177264/nikola-djapa,Se
Jaden Steppe,COLORADO STATE,8,https://www.espn.com/mens-college-basketball/player/_/id/5061605/jaden-steppe,OR
Luke Murphy,COLORADO STATE,10,https://www.espn.com/mens-college-basketball/player/_/id/5107565/luke-murphy,CA
Ryan Kalkbrenner,CREIGHTON,832,https://www.espn.com/mens-college-basketball/player/_/id/4576060/ryan-kalkbrenner,MO
Steven Ashworth,CREIGHTON,884,https://www.espn.com/mens-college-basketball/player/_/id/4701991/steven-ashworth,UT
Pop Isaacs,CREIGHTON,254,https://www.espn.com/mens-college-basketball/player/_/id/5106285/pop-isaacs,NV
Jamiya Neal,CREIGHTON,858,https://www.espn.com/mens-college-basketball/player/_/id/4837237/jamiya-neal,OH
Jackson McAndrew,CREIGHTON,505,https://www.espn.com/mens-college-basketball/player/_/id/5061591/jackson-mcandrew,MN
Isaac Traudt,CREIGHTON,447,https://www.espn.com/mens-college-basketball/player/_/id/4712866/isaac-traudt,NE
Jasen Green,CREIGHTON,482,https://www.espn.com/mens-college-basketball/player/_/id/5105577/jasen-green,NE
Fedor Zugic,CREIGHTON,138,https://www.espn.com/mens-college-basketball/player/_/id/5240517/fedor-zugic,Mo
Fredrick King,CREIGHTON,177,https://www.espn.com/mens-college-basketball/player/_/id/5105580/fredrick-king,Ba
Sterling Knox,CREIGHTON,25,https://www.espn.com/mens-college-basketball/player/_/id/5175356/sterling-knox,NV
Mason Miller,CREIGHTON,314,https://www.espn.com/mens-college-basketball/player/_/id/4683755/mason-miller,TN
Ty Davis,CREIGHTON,163,https://www.espn.com/mens-college-basketball/player/_/id/5149116/ty-davis,AL
Sami Osmani,CREIGHTON,13,https://www.espn.com/mens-college-basketball/player/_/id/4701553/sami-osmani,IL
Shane Thomas,CREIGHTON,96,https://www.espn.com/mens-college-basketball/player/_/id/5175358/shane-thomas,NV
Josh Townley-Thomas,CREIGHTON,12,https://www.espn.com/mens-college-basketball/player/_/id/5175359/josh-townley-thomas,NE
CJ Gunn,DEPAUL,646,https://www.espn.com/mens-college-basketball/player/_/id/5105796/cj-gunn,IN
Jacob Meyer,DEPAUL,625,https://www.espn.com/mens-college-basketball/player/_/id/5176795/jacob-meyer,KY
Isaiah Rivera,DEPAUL,701,https://www.espn.com/mens-college-basketball/player/_/id/4703224/isaiah-rivera,IL
Layden Blocker,DEPAUL,653,https://www.espn.com/mens-college-basketball/player/_/id/4845358/layden-blocker,AR
NJ Benson,DEPAUL,532,https://www.espn.com/mens-college-basketball/player/_/id/5107903/nj-benson,IL
Conor Enright,DEPAUL,693,https://www.espn.com/mens-college-basketball/player/_/id/4897451/conor-enright,IL
David Skogman,DEPAUL,351,https://www.espn.com/mens-college-basketball/player/_/id/4593409/david-skogman,WI
Troy D'Amico,DEPAUL,638,https://www.espn.com/mens-college-basketball/player/_/id/4897483/troy-damico,IL
JJ Traynor,DEPAUL,450,https://www.espn.com/mens-college-basketball/player/_/id/4596711/jj-traynor,KY
David Thomas,DEPAUL,250,https://www.espn.com/mens-college-basketball/player/_/id/5176149/david-thomas,GA
Chris Riddle,DEPAUL,71,https://www.espn.com/mens-college-basketball/player/_/id/4905252/chris-riddle,IL
Theo Pierre-Justin,DEPAUL,87,https://www.espn.com/mens-college-basketball/player/_/id/5240520/theo-pierre-justin,Fr
Cooper Flagg,DUKE,849,https://www.espn.com/mens-college-basketball/player/_/id/5041939/cooper-flagg,ME
Kon Knueppel,DUKE,795,https://www.espn.com/mens-college-basketball/player/_/id/5061575/kon-knueppel,WI
Tyrese Proctor,DUKE,802,https://www.espn.com/mens-college-basketball/player/_/id/5023693/tyrese-proctor,NS
Sion James,DUKE,658,https://www.espn.com/mens-college-basketball/player/_/id/4602025/sion-james,GA
Khaman Maluach,DUKE,552,https://www.espn.com/mens-college-basketball/player/_/id/5203685/khaman-maluach,So
Isaiah Evans,DUKE,319,https://www.espn.com/mens-college-basketball/player/_/id/5061585/isaiah-evans,NC
Caleb Foster,DUKE,393,https://www.espn.com/mens-college-basketball/player/_/id/4711256/caleb-foster,NC
Mason Gillis,DUKE,365,https://www.espn.com/mens-college-basketball/player/_/id/4431753/mason-gillis,IN
Patrick Ngongba II,DUKE,171,https://www.espn.com/mens-college-basketball/player/_/id/4873209/patrick-ngongba-ii,VA
Maliq Brown,DUKE,366,https://www.espn.com/mens-college-basketball/player/_/id/5105337/maliq-brown,VA
Darren Harris,DUKE,85,https://www.espn.com/mens-college-basketball/player/_/id/4873107/darren-harris,VA
Spencer Hubbard,DUKE,16,https://www.espn.com/mens-college-basketball/player/_/id/4897108/spencer-hubbard,CA
Neal Begovich,DUKE,15,https://www.espn.com/mens-college-basketball/player/_/id/4431890/neal-begovich,CA
Cameron Sheffield,DUKE,14,https://www.espn.com/mens-college-basketball/player/_/id/4432321/cameron-sheffield,GA
Stanley Borden,DUKE,2,https://www.espn.com/mens-college-basketball/player/_/id/4897107/stanley-borden,Tu
C.J. Walker,EAST CAROLINA,859,https://www.espn.com/mens-college-basketball/player/_/id/4592403/cj-walker,FL
RJ Felton,EAST CAROLINA,925,https://www.espn.com/mens-college-basketball/player/_/id/4708215/rj-felton,SC
Jordan Riley,EAST CAROLINA,900,https://www.espn.com/mens-college-basketball/player/_/id/4683942/jordan-riley,NY
Cam Hayes,EAST CAROLINA,791,https://www.espn.com/mens-college-basketball/player/_/id/4701837/cam-hayes,NC
Jayshayne Woodard,EAST CAROLINA,563,https://www.espn.com/mens-college-basketball/player/_/id/5239830/jayshayne-woodard,NY
Yann Farell,EAST CAROLINA,513,https://www.espn.com/mens-college-basketball/player/_/id/5239831/yann-farell,Ga
Julien Soumaoro,EAST CAROLINA,132,https://www.espn.com/mens-college-basketball/player/_/id/4897626/julien-soumaoro,NY
Trevion LaBeaux,EAST CAROLINA,522,https://www.espn.com/mens-college-basketball/player/_/id/5239835/trevion-labeaux,IA
Tybo Bailey,EAST CAROLINA,52,https://www.espn.com/mens-college-basketball/player/_/id/5239833/tybo-bailey,NC
Callum Richard,EAST CAROLINA,10,https://www.espn.com/mens-college-basketball/player/_/id/5175056/callum-richard,NC
Cyr Malonga,EAST CAROLINA,117,https://www.espn.com/mens-college-basketball/player/_/id/5175054/cyr-malonga,Co
Reid Cason,EAST CAROLINA,82,https://www.espn.com/mens-college-basketball/player/_/id/5239834/reid-cason,OK
Bencao Vungo,EAST CAROLINA,26,https://www.espn.com/mens-college-basketball/player/_/id/5196348/bencao-vungo,An
Grant Smith,EAST CAROLINA,8,https://www.espn.com/mens-college-basketball/player/_/id/5175055/grant-smith,VA
Kaleb Glenn,FLORIDA ATLANTIC,637,https://www.espn.com/mens-college-basketball/player/_/id/4685668/kaleb-glenn,KY
Tre Carroll,FLORIDA ATLANTIC,566,https://www.espn.com/mens-college-basketball/player/_/id/4684289/tre-carroll,FL
Baba Miller,FLORIDA ATLANTIC,774,https://www.espn.com/mens-college-basketball/player/_/id/5075626/baba-miller,Sp
KyKy Tandy,FLORIDA ATLANTIC,604,https://www.espn.com/mens-college-basketball/player/_/id/4592606/kyky-tandy,KY
Matas Vokietaitis,FLORIDA ATLANTIC,426,https://www.espn.com/mens-college-basketball/player/_/id/5239838/matas-vokietaitis,Li
Leland Walker,FLORIDA ATLANTIC,739,https://www.espn.com/mens-college-basketball/player/_/id/4712838/leland-walker,IN
Ken Evans Jr.,FLORIDA ATLANTIC,710,https://www.espn.com/mens-college-basketball/player/_/id/4594079/ken-evans-jr,MS
Niccolo Moretti,FLORIDA ATLANTIC,587,https://www.espn.com/mens-college-basketball/player/_/id/5126036/niccolo-moretti,It
Max Langenfeld,FLORIDA ATLANTIC,51,https://www.espn.com/mens-college-basketball/player/_/id/5239839/max-langenfeld,Ge
Mantas Kocanas,FLORIDA ATLANTIC,14,https://www.espn.com/mens-college-basketball/player/_/id/5239840/mantas-kocanas,Li
Devin Vanterpool,FLORIDA ATLANTIC,155,https://www.espn.com/mens-college-basketball/player/_/id/5175058/devin-vanterpool,MD
Jack Johnson,FLORIDA ATLANTIC,12,https://www.espn.com/mens-college-basketball/player/_/id/5106866/jack-johnson,NY
Jamir Watkins,FLORIDA STATE,816,https://www.espn.com/mens-college-basketball/player/_/id/4606840/jamir-watkins,NJ
Malique Ewin,FLORIDA STATE,709,https://www.espn.com/mens-college-basketball/player/_/id/5105546/malique-ewin,GA
Daquan Davis,FLORIDA STATE,698,https://www.espn.com/mens-college-basketball/player/_/id/5101651/daquan-davis,MD
Taylor Bol Bowen,FLORIDA STATE,612,https://www.espn.com/mens-college-basketball/player/_/id/4685658/taylor-bol-bowen,VT
Chandler Jackson,FLORIDA STATE,598,https://www.espn.com/mens-college-basketball/player/_/id/4712843/chandler-jackson,TN
Jerry Deng,FLORIDA STATE,378,https://www.espn.com/mens-college-basketball/player/_/id/5174958/jerry-deng,NY
Justin Thomas,FLORIDA STATE,589,https://www.espn.com/mens-college-basketball/player/_/id/5106773/justin-thomas,LA
Bostyn Holt,FLORIDA STATE,333,https://www.espn.com/mens-college-basketball/player/_/id/4898375/bostyn-holt,OR
AJ Swinton,FLORIDA STATE,246,https://www.espn.com/mens-college-basketball/player/_/id/4873208/aj-swinton,MD
Alier Maluk,FLORIDA STATE,269,https://www.espn.com/mens-college-basketball/player/_/id/5238166/alier-maluk,PA
Christian Nitu,FLORIDA STATE,111,https://www.espn.com/mens-college-basketball/player/_/id/5238164/christian-nitu,ON
Waka Mbatch,FLORIDA STATE,17,https://www.espn.com/mens-college-basketball/player/_/id/5174671/waka-mbatch,Ga
Anastasios Rozakeas,FLORIDA STATE,28,https://www.espn.com/mens-college-basketball/player/_/id/5238163/anastasios-rozakeas,Gr
Jason Simpson,FLORIDA STATE,8,https://www.espn.com/mens-college-basketball/player/_/id/4897418/jason-simpson,FL
Jesse Jones,FLORIDA STATE,9,https://www.espn.com/mens-college-basketball/player/_/id/4907382/jesse-jones,FL
Jalen Crawford,FLORIDA STATE,5,https://www.espn.com/mens-college-basketball/player/_/id/5238165/jalen-crawford,FL
Walter Clayton Jr.,FLORIDA,832,https://www.espn.com/mens-college-basketball/player/_/id/4896372/walter-clayton-jr,FL
Alijah Martin,FLORIDA,754,https://www.espn.com/mens-college-basketball/player/_/id/4702656/alijah-martin,MS
Will Richard,FLORIDA,852,https://www.espn.com/mens-college-basketball/player/_/id/4897262/will-richard,GA
